date,rain_mm,runoff+excess,crop uptake,Soil Moisture(SM),Percolation to Ground Water(GW)
2022-06-01,0.0,0.0,0.0,0,0
2022-06-02,0.0,0.0,0.0,0,0
2022-06-03,0.0,0.0,0.0,0,0
2022-06-04,0.0,0.0,0.0,0,0
2022-06-05,0.0,0.0,0.0,0,0
2022-06-06,0.0,0.0,0.0,0,0
2022-06-07,0.0,0.0,0.0,0,0
2022-06-08,5.25,1.05,4,0.16000000000000014,0.040000000000000036
2022-06-09,2.25,0.45,1.9600000000000002,0,0
2022-06-10,0.0,0.0,0.0,0,0
2022-06-11,0.0,0.0,0.0,0,0
2022-06-12,8.0,1.6,4,1.9200000000000004,0.4800000000000001
2022-06-13,27.0,8.1,4,13.456,3.3640000000000003
2022-06-14,0.0,0.0,4,7.5648,1.8912
2022-06-15,0.0,0.0,4,2.85184,0.71296
2022-06-16,0.0,0.0,2.85184,0,0
2022-06-17,0.75,0.15000000000000002,0.6,0,0
2022-06-18,0.0,0.0,0.0,0,0
2022-06-19,0.75,0.15000000000000002,0.6,0,0
2022-06-20,1.25,0.25,1.0,0,0
2022-06-21,6.5,1.3,4,0.9600000000000002,0.24000000000000005
2022-06-22,43.5,13.049999999999999,4,21.928000000000004,5.482000000000001
2022-06-23,1.0,0.2,4,14.982400000000004,3.7456000000000014
2022-06-24,6.75,1.35,4,13.105920000000003,3.276480000000001
2022-06-25,0.25,0.05,4,7.444736000000002,1.8611840000000006
2022-06-26,0.0,0.0,4,2.7557888000000013,0.6889472000000003
2022-06-27,16.75,3.35,4,9.724631040000002,2.431157760000001
2022-06-28,0.25,0.05,4,4.739704832000001,1.1849262080000003
2022-06-29,0.0,0.0,4,0.5917638656000008,0.1479409664000002
2022-06-30,0.5,0.1,0.9917638656000008,0,0
2022-07-01,1.75,0.35000000000000003,1.4,0,0
2022-07-02,0.0,0.0,0.0,0,0
2022-07-03,0.0,0.0,0.0,0,0
2022-07-04,2.0,0.4,1.6,0,0
2022-07-05,1.25,0.25,1.0,0,0
2022-07-06,0.0,0.0,0.0,0,0
2022-07-07,10.25,2.0500000000000003,4,3.3599999999999994,0.8399999999999999
2022-07-08,22.25,4.45,4,13.728,3.4320000000000004
2022-07-09,7.75,1.55,4,12.7424,3.1856000000000004
2022-07-10,23.25,4.65,4,21.873920000000002,5.4684800000000005
2022-07-11,16.0,3.2,4,24.539136000000003,6.134784000000001
2022-07-12,1.5,0.30000000000000004,4,17.3913088,4.3478272
2022-07-13,9.5,1.9000000000000001,4,16.793047039999998,4.19826176
2022-07-14,1.0,0.2,4,10.874437632,2.718609408
2022-07-15,2.25,0.45,4,6.9395501056,1.7348875264
2022-07-16,0.0,0.0,4,2.3516400844800005,0.5879100211200001
2022-07-17,14.25,2.85,4,7.801312067584002,1.9503280168960004
2022-07-18,12.75,2.5500000000000003,4,11.201049654067202,2.800262413516801
2022-07-19,11.75,2.35,4,13.280839723253763,3.3202099308134407
2022-07-20,1.75,0.35000000000000003,4,8.54467177860301,2.1361679446507527
2022-07-21,0.25,0.05,4,3.795737422882408,0.948934355720602
2022-07-22,0.5,0.1,4,0.15658993830592677,0.0391474845764817
2022-07-23,3.25,0.65,2.7565899383059267,0,0
2022-07-24,6.25,1.25,4,0.8,0.2
2022-07-25,0.5,0.1,1.2000000000000002,0,0
2022-07-26,3.0,0.6000000000000001,2.4,0,0
2022-07-27,33.25,9.975,4,15.419999999999998,3.855
2022-07-28,0.0,0.0,4,9.136,2.284
2022-07-29,1.5,0.30000000000000004,4,5.068799999999999,1.2671999999999999
